username,reponame,latest_ver,extension,pkgs_name,pkg_pattern,version_pattern_match,update_requires,github_latest_vers,github_earliest_vers,IsEarliestVerReleases
TAPR,OpenHPSDR-PowerSDR,3.4.9.0,msi,OpenHPSDR-TAPR.PowerSDR,PowerSDR_mRX_PS_v3.4.9.0_Setup.msi,PatternMatchOnlyNum,Yes,v3.4.9,v3.4.9,absent
SnailKM,SnailKM-Software,1.2.6,exe,SnailDOS.SnailKM,SnailKM-Setup-1.2.6.exe,PatternMatchOnlyNum,Yes,v1.4.0,v1.4.0,absent
valnoxy,WebRadio,1.0.0.38,exe,Exploitox.WebRadio,WebRadio_1.0.0.38_x64.exe,PatternMatchOnlyNum,Yes,v1.0.0,v1.0.0,absent
adventuregamestudio,ags,3.6.1.22,exe,AGSProjectTeam.AdventureGameStudio,AGS-3.6.1.22.exe,PatternMatchOnlyNum,Yes,v3.6.1.23,v3.6.1.23,absent
Tenpi,Music-Player,0.2.1,exe,Tenpi.MusicPlayer,Music-Player-Setup-0.2.1.exe,PatternMatchOnlyNum,Yes,v0.2.5,v0.2.5,absent
thaddeusm,seatsmart-FHSU,2.0.4,exe,ThaddeusMcCleary.Seatsmart,Seatsmart-Setup-2.0.4.exe,PatternMatchOnlyNum,Yes,v2.0.5,v2.0.5,absent
commercialhaskell,stack,2.13.1,exe,commercialhaskell.stack,stack-2.13.1-windows-x86_64-installer.exe,PatternMatchOnlyNum,Yes,v2.15.5,v2.15.5,absent
flxzt,rnote,0.10.1,exe,flxzt.rnote,rnote-win-installer-0.10.1-x86_64.exe,PatternMatchOnlyNum,Yes,v0.10.2,v0.10.2,absent
Taiko2k,TauonMusicBox,7.7.0,exe,Taiko2k.TauonMusicBox,TauonMusicBox.v7.7.0-1.x64.exe,PatternMatchOnlyNum,Yes,v7.7.2,v7.7.2,absent
ktgw0316,LightZone,4.2.4,exe,LightZoneProject.LightZone,LightZone_Installer_4.2.4_20220227_windows-x64.exe,PatternMatchOnlyNum,Yes,4.2.5,5.0.0beta2,present
Picorims,wav2bar,0.3.0,msi,Picorims.wav2bar,Wav2Bar-win32-x64-0.3.0-beta.msi,PatternMatchOnlyNum,Yes,v0.3.3-beta,v0.3.3-beta,absent
nomic-ai,gpt4all,2.7.0,exe,nomic.gpt4all,gpt4all-installer-win64-v2.7.0.exe,PatternMatchOnlyNum,Yes,v2.7.3,v2.7.3,absent
qier222,YesPlayMusic,0.4.7,exe,qier222.yesplaymusic,YesPlayMusic-Setup-0.4.7.exe,PatternMatchOnlyNum,Yes,v0.4.8-2,v0.4.8-2,absent
tetratelabs,wazero,1.6.0,msi,Tetrate.wazero,wazero_1.6.0_windows_amd64.msi,PatternMatchOnlyNum,Yes,v1.7.0,v1.7.0,absent
hypermodules,hyperamp,1.0.8,exe,Hypermodules.Hyperamp,Hyperamp-Setup-1.0.8.exe,PatternMatchOnlyNum,Yes,v1.1.6,v1.1.6,absent
containers,podman-desktop,1.8.0,exe,RedHat.Podman-Desktop,podman-desktop-1.8.0-setup.exe,PatternMatchOnlyNum,Yes,v1.9.1,v0.0.202404081045-e2142a7,present
mgth,LittleBigMouse,4.2.7124.42685,exe,mgth.LittleBigMouse,LittleBigMouse_4.2.7124.42685.exe,PatternMatchOnlyNum,Yes,v5.1,v5.1,absent
mar10,wsgidav,4.3.2.0,msi,mar10.wsgidav,WsgiDAV-4.3.2.0-win64.msi,PatternMatchOnlyNum,Yes,v4.3.2,v4.3.2,absent
Bible-Projects,believers-sword-app,0.8.5,exe,JenuelOrasGanawed.BelieversSword,Believers-Sword-Setup-0.8.5.exe,PatternMatchOnlyNum,Yes,v1.3.4,v1.3.4,absent
NDXCode,Eclipse-Flash-Tool,1.8,exe,NDXCode.EclipseFlashTool,Eclipse.Flash.Tool-v1.8-x86.exe,PatternMatchOnlyNum,Yes,v1.9,v1.9,absent
Chia-Network,chia-blockchain,2.1.4,exe,ChiaNetwork.GUIforChiaBlockchain,ChiaSetup-2.1.4.exe,PatternMatchOnlyNum,Yes,2.2.1,2.3.0-rc1,present
hamsterbase,hamsterbase,0.7.3,exe,HamsterBase.HamsterBase.Server,hamsterbase-selfhosted-0.7.3-win-x64.exe,PatternMatchOnlyNum,Yes,0.11.0,0.11.0,absent
rime,weasel,0.14.3,exe,Rime.Weasel,weasel-0.14.3.0-installer.exe,PatternMatchOnlyNum,Yes,0.15.0,latest,present
winpython,winpython,3.8.12.3,exe,winpython.winpython-dot-pypy,Winpython64-3.8.12.3dotPyPy.exe,PatternMatchOnlyNum,Yes,7.1.20240203final,7.5.20240401,present
sabnzbd,sabnzbd,4.1.0,exe,SABnzbdTeam.SABnzbd,SABnzbd-4.1.0-win-setup.exe,PatternMatchOnlyNum,Yes,4.2.3,4.3.0Beta1,present
xiaoyifang,goldendict-ng,23.05.01,exe,xiaoyifang.GoldenDict-ng,6.4.3-GoldenDict-ng-v23.05.01-WuYi-xapian-Installer.exe,PatternMatchOnlyNum,Yes,v24.01.22-LoongYear.3dddb3be,v24.02.16-alpha.4f905c75,present
jopohl,urh,2.9.4,exe,JohannesPohl.UniversalRadioHacker,Universal.Radio.Hacker-2.9.4-x64.exe,PatternMatchOnlyNum,Yes,v2.9.6,v2.9.6,absent
ThePandemoniumInstitute,botc-release,3.23.1,exe,ThePandemoniumInstitute.BloodontheClocktowerOnline,Blood-on-the-Clocktower-Online-Setup-3.23.1.exe,PatternMatchOnlyNum,Yes,v3.23.2,v3.23.2,absent
WeakAuras,WeakAuras-Companion,5.1.3,exe,WeakAuras.WeakAurasCompanion,WeakAuras-Companion-Setup-5.1.3.exe,PatternMatchOnlyNum,Yes,v5.2.3,v5.2.3,absent
skypjack,qsapecng,2.0.0,exe,skypjack.qsapecng,QSapecNG-2.0.0-win32.exe,PatternMatchOnlyNum,Yes,v2.1.1,v2.1.1,absent
heyman,heynote,1.6.0,exe,JonatanHeyman.Heynote,Heynote_1.6.0.exe,PatternMatchOnlyNum,Yes,v1.7.0,v1.7.0,absent
